# Caspase family gene inventory
# Source: caspase_genes_all_species.tsv
# Config: see examples/caspase_in_carp/caspase_config_as_run_2026-06-30.yaml (identical to config/caspase_example.yaml as of that date)
#
# COLUMN GROUPS:
#   Cols 1-16:  Core identity + structure (incl. NCBI gene_biotype,
#               cds_exons = representative-isoform CDS-exon count,
#               transcript_variants = # coding transcripts)
#   Cols 17-18: Annotation confidence (identity)
#   Cols 19-20: Gene model quality (from NCBI annotation flags)
#   Cols 21-23: Assembly artefact flags
#   Cols 24-28: Curation status (fill during manual review)
#
# CDS_EXONS: coding-exon count of the longest isoform (per isoform, not summed across variants)
# CONFIDENCE (identity): high (named, consistent) / medium (LOC or minor identity issue) / low (known confusion locus)
# MODEL STATUS (NCBI flags): ok / pseudogene / partial / low_quality / flagged (exception)
# CURATION: unreviewed / in_progress / reviewed / flagged
#
species	gene_id	ncbi_annotation_name	ncbi_gene_id	chromosome_accession	chromosome_label	subgenome	homeolog_pair	start	end	strand	gene_length_bp	cds_exons	transcript_variants	description	gene_biotype	annotation_confidence	confidence_reasons	model_status	model_quality_notes	on_unplaced_scaffold	possible_haplotig	assembly_artefact_notes	curation_status	proposed_identity	curation_notes	reviewed_by	review_date
Carassius_auratus	casp9	casp9	113068938	NW_020523286.1	unplaced	B	23	2263138	2269399	+	6262	10	1	caspase 9, apoptosis-related cysteine peptidase	protein_coding	high	named gene with consistent annotation	ok		yes	no	gene on unplaced scaffold	unreviewed				
Carassius_auratus	LOC113074243	LOC113074243	113074243	NW_020524475.1	unplaced	unknown		35358	37700	+	2343	6	1	caspase-1-A-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		yes	no	gene on unplaced scaffold	unreviewed				
Carassius_auratus	LOC113102528	LOC113102528	113102528	NW_020529216.1	unplaced	unknown		60845	66479	-	5635	4	1	caspase-3-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		yes	no	gene on unplaced scaffold	unreviewed				
Carassius_auratus	LOC113082415	LOC113082415	113082415	NW_020526282.1	unplaced	unknown		99453	103104	-	3652	7	1	caspase-1-A-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		yes	no	gene on unplaced scaffold	unreviewed				
Carassius_auratus	LOC113074955	LOC113074955	113074955	NW_020524628.1	unplaced	unknown		134093	135168	-	1076	2	1	caspase-3-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		yes	no	gene on unplaced scaffold	unreviewed				
Carassius_auratus	LOC113102983	LOC113102983	113102983	NW_020529245.1	unplaced	unknown		135266	136631	-	1366			caspase-1-like	pseudogene	medium	LOC identifier (automated annotation, no curated gene symbol)	pseudogene	NCBI gene_biotype=pseudogene (non-functional copy)	yes	no	gene on unplaced scaffold	unreviewed				
Carassius_auratus	LOC113074954	LOC113074954	113074954	NW_020524628.1	unplaced	unknown		135922	144592	-	8671	6	2	caspase-3-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		yes	no	gene on unplaced scaffold	unreviewed				
Danio_rerio	casp3a	casp3a	140621	NC_133176.1	chr1	diploid	1	19070212	19106941	+	36730	6	3	caspase 3, apoptosis-related cysteine peptidase a	protein_coding	high	named gene with consistent annotation	flagged	NCBI exception: annotated by transcript or proteomic data	no	no		unreviewed				
Danio_rerio	caspb	caspb	259303	NC_133176.1	chr1	diploid	1	61327320	61341131	-	13812	7	1	caspase b	protein_coding	high	named gene with consistent annotation	flagged	NCBI exception: annotated by transcript or proteomic data	no	no		unreviewed				
Danio_rerio	caspbl	caspbl	566185	NC_133176.1	chr1	diploid	1	61381652	61391830	-	10179	8	7	caspase b, like	protein_coding	high	named gene with consistent annotation	ok		no	no		unreviewed				
Danio_rerio	casp6b.1	casp6b.1	791531	NC_133178.1	chr3	diploid	3	31761760	31766094	-	4335	7	1	caspase 6b.1, apoptosis-related cysteine peptidase	protein_coding	high	named gene with consistent annotation	ok		no	no		unreviewed				
Danio_rerio	casp6a	casp6a	552927	NC_133178.1	chr3	diploid	3	31767020	31773691	-	6672	8	2	caspase 6, apoptosis-related cysteine peptidase a	protein_coding	high	named gene with consistent annotation	flagged	NCBI exception: annotated by transcript or proteomic data	no	no		unreviewed				
Danio_rerio	casp6b.2	casp6b.2	664751	NC_133178.1	chr3	diploid	3	31777086	31782138	-	5053	7	3	caspase 6b.2, apoptosis-related cysteine peptidase	protein_coding	high	named gene with consistent annotation	ok		no	no		unreviewed				
Danio_rerio	casp22	casp22	561021	NC_133180.1	chr5	diploid	5	23275457	23284538	-	9082	7	1	caspase 22, apoptosis-related cysteine peptidase	protein_coding	high	named gene with consistent annotation	ok		no	no		unreviewed				
Danio_rerio	casp8	casp8	58022	NC_133181.1	chr6	diploid	6	14006420	14017389	+	10970	9	2	caspase 8, apoptosis-related cysteine peptidase	protein_coding	high	named gene with consistent annotation	flagged	NCBI exception: annotated by transcript or proteomic data	no	no		unreviewed				
Danio_rerio	casp8l1	casp8l1	100049706	NC_133181.1	chr6	diploid	6	14064981	14069931	+	4951	5	2	caspase 8, apoptosis-related cysteine peptidase, like 1	protein_coding	high	named gene with consistent annotation	flagged	NCBI exception: annotated by transcript or proteomic data	no	no		unreviewed				
Danio_rerio	LOC795066	LOC795066	795066	NC_133181.1	chr6	diploid	6	14071149	14078317	-	7169	4	2	caspase-8	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Danio_rerio	casp20	casp20	100192215	NC_133181.1	chr6	diploid	6	14079249	14086452	-	7204	4	2	caspase 20, apoptosis-related cysteine peptidase	protein_coding	high	named gene with consistent annotation	flagged	NCBI exception: annotated by transcript or proteomic data	no	no		unreviewed				
Danio_rerio	casp23	casp23	563034	NC_133182.1	chr7	diploid	7	19592614	19597368	+	4755	11	1	caspase 23, apoptosis-related cysteine peptidase	protein_coding	high	pair 7: conserved A=casp23/B=caspa divergence (likely subfunctionalization)	flagged	NCBI exception: annotated by transcript or proteomic data	no	no		unreviewed				
Danio_rerio	casp10	casp10	557302	NC_133184.1	chr9	diploid	9	1329789	1348824	+	19036	10	1	caspase 10, apoptosis-related cysteine peptidase	protein_coding	high	casp8/casp10 cross-species annotation inconsistency	ok		no	no		unreviewed				
Danio_rerio	LOC798445	LOC798445	798445	NC_133185.1	chr10	diploid	10	47397808	47405917	+	8110	4	1	caspase-3-like	protein_coding	low	exec caspase confusion locus (casp3/casp7 interchangeable); LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Danio_rerio	casp17	casp17	101886133	NC_133185.1	chr10	diploid	10	47412707	47422179	+	9473	4	1	caspase 17, apoptosis-related cysteine peptidase	protein_coding	high	no specific concerns	ok		no	no		unreviewed				
Danio_rerio	casp7	casp7	553634	NC_133187.1	chr12	diploid	12	32456940	32470989	-	14050	7	10	caspase 7, apoptosis-related cysteine peptidase	protein_coding	high	named gene with consistent annotation	ok		no	no		unreviewed				
Danio_rerio	casp3b	casp3b	566604	NC_133189.1	chr14	diploid	14	4620964	4654651	-	33688	7	6	caspase 3, apoptosis-related cysteine peptidase b	protein_coding	low	exec caspase confusion locus (casp3/casp7 interchangeable)	ok		no	no		unreviewed				
Danio_rerio	casp2	casp2	373118	NC_133191.1	chr16	diploid	16	17629400	17658797	-	29398	10	5	caspase 2, apoptosis-related cysteine peptidase	protein_coding	high	named gene with consistent annotation	ok		no	no		unreviewed				
Danio_rerio	caspa	caspa	57933	NC_133191.1	chr16	diploid	16	46416069	46466469	-	50401	7	4	caspase a	protein_coding	high	named gene with consistent annotation	flagged	NCBI exception: annotated by transcript or proteomic data	no	no		unreviewed				
Danio_rerio	casp21	casp21	100331324	NC_133196.1	chr21	diploid	21	9889519	9895275	+	5757	6	1	caspase 21, apoptosis-related cysteine peptidase	protein_coding	high	no specific concerns	ok		no	no		unreviewed				
Danio_rerio	casp9	casp9	492763	NC_133198.1	chr23	diploid	23	27916687	27931580	+	14894	10	1	caspase 9, apoptosis-related cysteine peptidase	protein_coding	high	named gene with consistent annotation	ok		no	no		unreviewed				
